1,AD,20171229,0.7811,0.7825,0.7788,0.7811,56812,120556,78110,2.77,0.0045040205,100000,450.40205,0.0019240636
2,BO,20171229,33.26,33.37,32.6,33.26,55447,215151,19956,3.31,0.496091752,600,297.6550512,0.0168144298
3,BP,20171229,1.3557,1.3579,1.3457,1.3557,91094,205144,84731.25,2.79,0.0089617435,62500,560.10896875,0.0057867794
4,C,20171229,350.75,351.5,350.25,350.75,100183,827971,17537.5,3.41,3.2375,50,161.875,-0.0035511364
5,CD,20171229,0.799,0.79985,0.7951,0.799,76612,116932,79900,2.6,0.0051633975,100000,516.33975,0.0028869085
6,CL,20171229,60.27743275,60.36722039,59.67884851,60.27743275,464478,466495,60277.43275,2.81,0.935710107,1000,935.710107,0.0096925134
7,CU,20171229,1.20755,1.20795,1.19905,1.20755,172363,498671,150943.75,3.02,0.006253928,125000,781.741,0.0056631272
8,EMD,20171229,1902.4,1922.1,1897,1902.4,15198,90497,190240,3.43,15.236449276,100,1523.6449276,-0.0060606061
9,ES,20171229,2676,2698.25,2667.75,2676,1092038,2989056,133800,3.45,15.793317308,50,789.6658654,-0.0036302709
10,FC,20171229,142.675,143.05,140.95,142.675,4700,23153,71337.5,2.72,2.4339594065,500,1216.97970325,0.0031640007
11,FV,20171229,116.1640625,116.203125,116.0390625,116.1640625,462466,3082959,116164.0625,2.87,0.2046875,1000,204.6875,0.0008077001
12,GC,20171229,1314.22326919,1314.7251493,1300.97363415,1314.22326919,241274,356300,131422.326919,2.94,10.358805574,100,1035.8805574,0.0093277829
13,HG,20171229,330.05,331.45,326,330.05,105005,172650,82512.5,3.39,5.2375,250,1309.375,-0.0024180142
14,HO,20171229,2.06095836,2.07610587,2.03903433,2.06095836,70275,155458,86560.25112,2.7,0.0372950465,42000,1566.391953,0.0089769232
15,JY,20171229,0.8914,0.89245,0.88845,0.8914,80513,227884,111425,2.65,0.0044547995,125000,556.8499375,0.002248707
16,LC,20171229,123.422,124.4627861,123.06660963,123.422,24292,119897,49368.8,3.17,1.8518377,400,740.73508,-0.0057259714
17,LH,20171229,75.30612402,76.01433208,75.09628459,75.30612402,17707,87420,30122.449608,2.92,1.546254271,400,618.5017084,0.0031446542
18,MP,20171229,0.05008,0.05043,0.04999,0.05008,28123,191535,25040,2.4,0.000478732,500000,239.366,0.0018003601
19,NE,20171229,0.7087,0.7118,0.7078,0.7087,18691,45208,70870,3.16,0.005017258,100000,501.7258,0.0005647325
20,NG,20171229,2.8812713,2.93493534,2.84907287,2.8812713,272657,353412,28812.713,2.61,0.113881922,10000,1138.81922,0.0133836666
21,NIY,20171229,22700,22875,22565,22700,16904,53519,100718.786050226,3.8,245.75,500,1090.3806903896,-0.0039491005
22,NQ,20171229,6408.75,6467.75,6383.25,6408.75,210114,279417,128175,3.32,60.1357393195,20,1202.71478639,-0.0058173357
23,PA,20171229,1061,1064.2,1047.55,1061,2496,35654,106100,3.31,16.4325,100,1643.25,-0.0023038225
24,PL,20171229,938.3,942,930.5,938.3,13012,78681,46915,2.64,13.430589323,50,671.52946615,0.0073000537
25,RB,20171229,1.81251648,1.82119654,1.80181781,1.81251648,44603,142872,76125.69216,2.85,0.0379085485,42000,1592.159037,0.0006686725
26,S,20171229,961.75,963.5,954.75,961.75,76908,344799,48087.5,3.19,11.009021572,50,550.4510786,0.0052260256
27,SF,20171229,1.0327,1.0329,1.0269,1.0327,17121,77321,129087.5,3.06,0.0058770685,125000,734.6335625,0.0047674645
28,SI,20171229,1714.5,1717.5,1686.5,1714.5,74515,152361,85725,3.05,23.66,50,1183,0.0131182414
