CSIsym,Date,Open,High,Low,Close,Volume,Open Interest,Contract,Seasonality,TR1,TR2,TR3,TR,Multiplier,Contract Value,ATR20,USD ATR,Target volatility,Account Size,QTY,% Change,Daily P&L,Risk On,Risk Off,Prev 1,Anti Prev 1,Prev 5,Low Eq,High Eq,Anti HE,Anti 50,Sea,Anti Sea
BO,20171101,34.99776651,35.3609604,34.94732292,35.20962961,62794,142972,201712,2.97,0.41364,,,,600,21126,,,500,5000,,,,1,-1,0,0,,1,1,-1,1,0,0
BO,20171102,35.13900858,35.41140399,34.89687932,35.16927474,62477,135928,201712,3.03,0.51452,0.20177,0.31275,0.51452,600,21102,,,500,5000,,-0.001146132,,1,-1,-1,1,,0,0,0,0,0,0
BO,20171103,35.15918602,35.16927474,34.57404031,34.7253711,65478,140804,201712,3.08,0.59523,0.00000,0.59523,0.59523,600,20835,,,500,5000,,-0.012621916,,1,-1,-1,1,,-1,1,-1,-1,1,-1
BO,20171106,34.70519366,35.30042808,34.56395159,35.03812139,54000,137371,201712,3.09,0.73648,0.57506,0.16142,0.73648,600,21023,,,500,5000,,0.009006392,,1,-1,1,-1,,1,0,0,0,0,0
BO,20171107,34.96750035,35.43158143,34.91705676,35.33069424,73819,132055,201712,3.09,0.51452,0.39346,0.12106,0.51452,600,21198,,,500,5000,,0.008350129,,1,-1,1,-1,,-1,-1,1,0,-1,1
BO,20171108,35.28025065,35.71406557,35.22980705,35.68379941,58523,124677,201712,3.1,0.48426,0.38337,0.10089,0.48426,600,21410,,,500,5000,,0.009994289,,1,-1,1,-1,,1,-1,1,1,1,-1
BO,20171109,35.69388813,35.75442044,35.3609604,35.45175887,73299,118823,201712,3.08,0.39346,0.07062,0.32284,0.39346,600,21271,,,500,5000,,-0.006502686,,-1,1,-1,1,1,0,1,-1,-1,-1,1
BO,20171110,35.38113784,35.47193631,35.07847626,35.11883114,47058,118315,201712,3.17,0.39346,0.02018,0.37328,0.39346,600,21071,,,500,5000,,-0.009391007,,-1,1,-1,1,1,-1,0,0,-1,0,0
BO,20171113,35.11672445,35.12676928,34.58434848,34.63457262,54902,126108,201801,3.18,0.54242,0.00794,0.53448,0.54242,600,20781,,,500,5000,,-0.013789141,,-1,1,-1,1,1,-1,0,0,-1,1,-1
BO,20171114,34.63457262,34.70488643,34.30309325,34.31313808,37109,127799,201801,3.2,0.40179,0.07031,0.33148,0.40179,600,20588,,,500,5000,,-0.009280742,,-1,1,-1,1,-1,1,1,-1,-1,-1,1
