CSIsym,Date,Open,High,Low,Close,Volume,Open Interest,Contract,Seasonality
ES,20171101,2575.404808,2588.167964,2573.653002,2577.406871,1290220,3131769,201712,2.72
ES,20171102,2574.153518,2581.160741,2564.893973,2579.408935,1297222,3135768,201712,2.8
ES,20171103,2580.159709,2588.167964,2576.155582,2585.415127,992681,3163563,201712,2.9
ES,20171106,2582.662289,2592.672608,2578.157645,2591.421318,848119,3158316,201712,2.93
ES,20171107,2590.420286,2596.17622,2583.413063,2589.419254,1163840,3167322,201712,2.93
ES,20171108,2586.666417,2595.175188,2582.412031,2593.67364,1058023,3156032,201712,2.85
ES,20171109,2593.923898,2597.177251,2565.895005,2586.666417,2218191,3155416,201712,2.84
ES,20171110,2584.664353,2588.418222,2574.153518,2582.161773,1193217,3179045,201712,2.84
ES,20171113,2582.912547,2588.167964,2572.902228,2584.664353,1052173,3175524,201712,2.89
ES,20171114,2582.912547,2584.914611,2566.896037,2580.660225,1582882,3176001,201712,2.89
ES,20171115,2579.408935,2579.659193,2558.137008,2567.646811,1917948,3180712,201712,2.91
ES,20171116,2566.896037,2592.172092,2564.893973,2587.667448,1528865,3219914,201712,2.99
ES,20171117,2586.916674,2588.66848,2577.406871,2578.908419,1186958,3205145,201712,2.93
ES,20171120,2578.658161,2586.666417,2570.399648,2584.664353,1000520,3195685,201712,2.93
ES,20171121,2584.664353,2603.183443,2581.911515,2598.929057,1153787,3213608,201712,2.89
ES,20171122,2598.428541,2602.682927,2595.425446,2597.177251,770812,3196045,201712,2.94
ES,20171124,2595.925962,2605.686023,2592.172092,2603.683959,551196,3204044,201712,2.98
ES,20171127,2603.683959,2608.188602,2599.179315,2604.434733,960112,3200150,201712,3
ES,20171128,2604.935249,2629.710788,2600.180347,2628.709756,1558414,3236041,201712,3.09
ES,20171129,2628.20924,2636.968269,2622.453307,2627.708724,1661775,3239614,201712,3.11
ES,20171130,2627.708724,2661.243293,2624.455371,2650.732458,2346236,3275991,201712,3.24
ES,20171201,2643.474977,2653.485296,2607.688086,2646.72833,2520826,3231700,201712,3.24
ES,20171204,2657.239165,2668.000258,2636.467753,2640.972397,1756938,3230754,201712,3.27
ES,20171205,2638.720075,2651.483232,2629.961046,2630.962078,1392821,3137281,201712,3.35
ES,20171206,2629.46053,2637.218527,2622.703565,2631.96311,1307666,3018724,201712,3.36
ES,20171207,2633.2144,2643.975493,2628.960014,2642.223687,1345485,2690236,201712,3.39
ES,20171208,2642.223687,2655.237101,2640.471881,2653.735553,1154864,2336063,201712,3.34
ES,20171211,2654.736585,2667.499742,2651.983748,2664.246388,1266601,1764137,201712,3.3
ES,20171212,2666,2673,2663.25,2667.75,1659061,2527944,201803,3.32
ES,20171213,2667.75,2675.5,2659.25,2669,1565803,2844874,201803,3.28
ES,20171214,2668.5,2673.5,2651.75,2656,1467120,2940089,201803,3.24
ES,20171215,2652.75,2683.25,2652.5,2682,1410847,2928463,201803,3.23
ES,20171218,2683,2698,2682.5,2694.5,1040769,2967731,201803,3.22
ES,20171219,2695,2698,2682.5,2684,980483,2969224,201803,3.18
ES,20171220,2684.75,2695.5,2679,2681.5,981223,2999594,201803,3.33
ES,20171221,2681.5,2696,2680.75,2687.75,853748,3007612,201803,3.36
ES,20171222,2686.75,2691.5,2682.25,2686,654510,3035200,201803,3.49
ES,20171226,2686.75,2689.5,2683.5,2687,376101,3038366,201803,3.53
ES,20171227,2687.5,2691,2681.5,2685.5,666329,3023788,201803,3.51
ES,20171228,2684,2689,2683,2685.75,535624,3013748,201803,3.5
ES,20171229,2684.75,2698.25,2667.75,2676,1092038,2989056,201803,3.45
ES,20180102,2675.25,2696,2674.5,2693,996265,3017744,201803,3.41
ES,20180103,2693.75,2714.25,2692.25,2711,1114548,3064592,201803,3.5
ES,20180104,2710.25,2729,2708.5,2723.75,1166017,3107934,201803,3.44
ES,20180105,2725,2743.25,2723.75,2742.5,1136500,3144990,201803,3.34
ES,20180108,2741.75,2748.5,2736.5,2746.75,903544,3168055,201803,3.38
ES,20180109,2746.5,2760,2742.75,2752.25,1137598,3190900,201803,3.3
ES,20180110,2749.75,2752,2736.5,2750.5,1289898,3203452,201803,3.33
ES,20180111,2750,2770.5,2747.75,2769.5,1045414,3198069,201803,3.25
ES,20180112,2768.75,2790,2766.75,2788.75,1298480,3198069,201803,3.22
