id,csiSym,date,riskOn,riskOff,prev5,prev10,antiZz120,zz30,antiMlScalpAll,antiMlLastWorstFw,mlScalpBigFb,mlSwingBigFb,mlLastBestFb,antiSea
,AD,20171229,1,-1,1,1,-1,-1,-1,1,0,0,0,-1
,BO,20171229,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,1
,BP,20171229,1,-1,1,1,-1,-1,-1,1,0,-1,0,-1
,C,20171229,1,-1,-1,1,1,-1,1,1,0,0,0,-1
,CD,20171229,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1
,CL,20171229,1,-1,1,1,-1,-1,-1,0,0,-1,-1,1
,CU,20171229,1,-1,1,1,-1,-1,-1,0,0,0,0,1
,EMD,20171229,1,-1,-1,1,-1,-1,-1,1,0,-1,0,1
,ES,20171229,1,-1,-1,1,1,1,-1,1,0,0,0,1
,FC,20171229,1,-1,1,-1,-1,-1,-1,0,0,0,-1,-1
,FV,20171229,-1,1,1,-1,1,1,-1,0,0,1,0,-1
,GC,20171229,-1,1,1,1,-1,-1,-1,0,1,-1,-1,-1
,HG,20171229,1,-1,1,1,-1,-1,-1,-1,0,-1,-1,1
,HO,20171229,1,-1,1,1,-1,-1,-1,0,0,-1,-1,1
,JY,20171229,-1,1,1,-1,1,-1,-1,-1,1,0,0,1
,LC,20171229,1,-1,1,1,-1,-1,-1,0,1,-1,-1,-1
,LH,20171229,1,-1,1,1,-1,-1,-1,0,0,-1,-1,1
,MP,20171229,1,-1,-1,-1,-1,-1,1,-1,0,0,0,-1
,NE,20171229,1,-1,1,1,-1,-1,-1,0,0,-1,-1,-1
,NG,20171229,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1
,NIY,20171229,1,-1,-1,1,-1,-1,-1,-1,0,0,0,1
,NQ,20171229,1,-1,-1,-1,1,1,-1,-1,0,0,0,1
,PA,20171229,1,-1,1,1,-1,-1,-1,0,1,-1,-1,-1
,PL,20171229,-1,1,1,1,-1,-1,-1,0,0,0,-1,-1
,RB,20171229,1,-1,1,1,-1,-1,-1,0,0,-1,-1,-1
